grand_prix,team,pace_index,reliability
China,Aston Martin,0.7619047619047619,0.625
China,Ferrari,0.23809523809523808,0.875
China,Haas,1.380952380952381,0.75
China,Kick Sauber,0.6190476190476191,0.625
China,McLaren,1.8571428571428572,0.9375
China,Mercedes,1.5714285714285714,0.8125
China,Racing Bulls,0.7142857142857143,0.6875
China,Red Bull,1.2380952380952381,0.84375
China,Williams,1.1904761904761905,0.78125
Emilia Romagna,Alpine,0.6190476190476191,0.5625
Emilia Romagna,Aston Martin,0.7619047619047619,0.625
Emilia Romagna,Ferrari,1.5238095238095237,0.875
Emilia Romagna,Haas,0.23809523809523808,0.75
Emilia Romagna,Kick Sauber,0.5714285714285714,0.625
Emilia Romagna,McLaren,1.7619047619047619,0.9375
Emilia Romagna,Mercedes,0.7619047619047619,0.8125
Emilia Romagna,Racing Bulls,0.9047619047619048,0.6875
Emilia Romagna,Red Bull,1.4761904761904763,0.84375
Emilia Romagna,Williams,1.380952380952381,0.78125
Great Britain,Alpine,0.7619047619047619,0.5625
Great Britain,Aston Martin,1.2380952380952381,0.625
Great Britain,Ferrari,1.1428571428571428,0.875
Great Britain,Haas,0.8571428571428571,0.75
Great Britain,Kick Sauber,1.0,0.625
Great Britain,McLaren,1.8571428571428572,0.9375
Great Britain,Mercedes,0.7619047619047619,0.8125
Great Britain,Racing Bulls,0.2857142857142857,0.6875
Great Britain,Red Bull,1.0476190476190477,0.84375
Great Britain,Williams,1.0476190476190477,0.78125
Hungary,Alpine,0.23809523809523808,0.5625
Hungary,Aston Martin,1.4285714285714286,0.625
Hungary,Ferrari,1.2380952380952381,0.875
Hungary,Haas,0.2857142857142857,0.75
Hungary,Kick Sauber,1.0952380952380953,0.625
Hungary,McLaren,1.8571428571428572,0.9375
Hungary,Mercedes,1.380952380952381,0.8125
Hungary,Racing Bulls,1.0952380952380953,0.6875
Hungary,Red Bull,0.7619047619047619,0.84375
Hungary,Williams,0.6190476190476191,0.78125
Italy,Alpine,0.42857142857142855,0.5625
Italy,Aston Martin,0.23809523809523808,0.625
Italy,Ferrari,1.5238095238095237,0.875
Italy,Haas,0.7142857142857143,0.75
Italy,Kick Sauber,0.6666666666666666,0.625
Italy,McLaren,1.7619047619047619,0.9375
Italy,Mercedes,1.3333333333333333,0.8125
Italy,Racing Bulls,0.8571428571428571,0.6875
Italy,Red Bull,1.3333333333333333,0.84375
Italy,Williams,1.1428571428571428,0.78125
Japan,Alpine,0.6666666666666666,0.5625
Japan,Aston Martin,0.5238095238095238,0.625
Japan,Ferrari,1.4761904761904763,0.875
Japan,Haas,0.6666666666666666,0.75
Japan,Kick Sauber,0.3333333333333333,0.625
Japan,McLaren,1.7619047619047619,0.9375
Japan,Mercedes,1.4761904761904763,0.8125
Japan,Racing Bulls,0.8095238095238095,0.6875
Japan,Red Bull,1.380952380952381,0.84375
Japan,Williams,0.9047619047619048,0.78125
Miami,Alpine,0.42857142857142855,0.5625
Miami,Aston Martin,0.5238095238095238,0.625
Miami,Ferrari,1.2857142857142858,0.875
Miami,Haas,0.5238095238095238,0.75
Miami,Kick Sauber,0.47619047619047616,0.625
Miami,McLaren,1.8571428571428572,0.9375
Miami,Mercedes,1.5714285714285714,0.8125
Miami,Racing Bulls,0.6666666666666666,0.6875
Miami,Red Bull,1.3333333333333333,0.84375
Miami,Williams,1.3333333333333333,0.78125
Monaco,Alpine,0.42857142857142855,0.5625
Monaco,Aston Martin,0.38095238095238093,0.625
Monaco,Ferrari,1.6666666666666667,0.875
Monaco,Haas,1.0952380952380953,0.75
Monaco,Kick Sauber,0.5714285714285714,0.625
Monaco,McLaren,1.8095238095238095,0.9375
Monaco,Mercedes,0.6190476190476191,0.8125
Monaco,Racing Bulls,1.3333333333333333,0.6875
Monaco,Red Bull,1.0,0.84375
Monaco,Williams,1.0952380952380953,0.78125
Netherlands,Alpine,0.6666666666666666,0.5625
Netherlands,Aston Martin,1.1904761904761905,0.625
Netherlands,Ferrari,0.14285714285714285,0.875
Netherlands,Haas,1.1428571428571428,0.75
Netherlands,Kick Sauber,0.47619047619047616,0.625
Netherlands,McLaren,1.0952380952380953,0.9375
Netherlands,Mercedes,1.5238095238095237,0.8125
Netherlands,Racing Bulls,1.2380952380952381,0.6875
Netherlands,Red Bull,1.4285714285714286,0.84375
Netherlands,Williams,1.0952380952380953,0.78125
Saudi Arabia,Alpine,0.23809523809523808,0.5625
Saudi Arabia,Aston Martin,0.7142857142857143,0.625
Saudi Arabia,Ferrari,1.5238095238095237,0.875
Saudi Arabia,Haas,0.7142857142857143,0.75
Saudi Arabia,Kick Sauber,0.42857142857142855,0.625
Saudi Arabia,McLaren,1.7619047619047619,0.9375
Saudi Arabia,Mercedes,1.4761904761904763,0.8125
Saudi Arabia,Racing Bulls,0.9523809523809523,0.6875
Saudi Arabia,Red Bull,1.0,0.84375
Saudi Arabia,Williams,1.1904761904761905,0.78125
Spain,Alpine,0.9047619047619048,0.5625
Spain,Aston Martin,0.6190476190476191,0.625
Spain,Ferrari,1.5714285714285714,0.875
Spain,Haas,0.42857142857142855,0.75
Spain,Kick Sauber,1.1904761904761905,0.625
Spain,McLaren,1.8571428571428572,0.9375
Spain,Mercedes,0.9523809523809523,0.8125
Spain,Racing Bulls,1.1428571428571428,0.6875
Spain,Red Bull,0.9047619047619048,0.84375
Spain,Williams,0.42857142857142855,0.78125
